timestamp,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
1774627427.584925,2675023654,1,0.12263105809688568,0.1926870197057724,0.09287761896848679,0
1774627427.624964,2675063693,1,0.10134217143058777,0.19196273386478424,0.0842871144413948,0
1774627427.6653259,2675104055,1,0.09009713679552078,0.19861795008182526,0.0842248946428299,0
1774627427.705054,2675143783,1,0.07532910257577896,0.2055579274892807,0.09312974661588669,0
1774627427.744952,2675183681,1,0.08657076954841614,0.20604147017002106,0.1004544049501419,0
1774627427.7849379,2675223667,1,0.13579925894737244,0.19887110590934753,0.11079802364110947,0
1774627427.824897,2675263626,1,0.12749508023262024,0.19439132511615753,0.11107133328914642,0
1774627427.8651419,2675303871,1,0.11267497390508652,0.20298421382904053,0.1089899018406868,0
1774627427.904893,2675343622,1,0.11189623922109604,0.19499748945236206,0.11926065385341644,0
1774627427.944962,2675383691,1,0.12904205918312073,0.19794690608978271,0.12600094079971313,0
1774627427.984933,2675423662,1,0.10561774671077728,0.20387080311775208,0.122151680290699,0
1774627428.024903,2675463632,1,0.09877144545316696,0.2088904231786728,0.1129281297326088,0
1774627428.065023,2675503752,1,0.09386908262968063,0.20502693951129913,0.10295838862657547,0
1774627428.104894,2675543623,1,0.08437386155128479,0.2096148580312729,0.09490135312080383,0
1774627428.144952,2675583681,1,0.09052080661058426,0.20342931151390076,0.09581202268600464,0
1774627428.184792,2675623521,1,0.09152952581644058,0.19748498499393463,0.08477704226970673,0
1774627428.224881,2675663610,1,0.10626086592674255,0.20815052092075348,0.07762154936790466,0
1774627428.265075,2675703804,1,0.12197114527225494,0.1947016716003418,0.09661860018968582,0
1774627428.3048658,2675743595,1,0.13257822394371033,0.19485172629356384,0.11285582929849625,0
1774627428.345106,2675783835,1,0.13921774923801422,0.1983530968427658,0.1255943924188614,0
1774627428.3851159,2675823845,1,0.1436411291360855,0.20155444741249084,0.11018278449773788,0
1774627428.425158,2675863887,1,0.14212599396705627,0.20530784130096436,0.10965614765882492,0
1774627428.465183,2675903912,1,0.13143323361873627,0.1976436972618103,0.1193060427904129,0
1774627428.505089,2675943818,1,0.1252918392419815,0.1880321055650711,0.10932532697916031,0
1774627428.5450249,2675983754,1,0.1157044842839241,0.1927722990512848,0.10073984414339066,0
1774627428.585075,2676023804,1,0.10604529827833176,0.18893803656101227,0.09212325513362885,0
1774627428.6253378,2676064067,1,0.09241315722465515,0.20138245820999146,0.08357567340135574,0
1774627428.6649508,2676103680,1,0.1104477047920227,0.20533743500709534,0.07978179305791855,0
1774627428.705052,2676143781,1,0.12360669672489166,0.19572898745536804,0.0919787585735321,0
1774627428.744861,2676183590,1,0.11001729965209961,0.20378556847572327,0.09225526452064514,0
1774627428.784817,2676223546,1,0.16447435319423676,0.22485250234603882,0.11832265555858612,0
1774627428.824844,2676263573,1,0.5576773285865784,0.2987827956676483,0.14207081496715546,0
1774627428.8654659,2676304195,1,0.5317467451095581,0.26190948486328125,0.16434095799922943,0
1774627428.904712,2676343441,1,0.4473741054534912,0.22728802263736725,0.1368173211812973,0
1774627428.9447489,2676383478,1,0.38151466846466064,0.18311671912670135,0.12194017320871353,0
1774627428.984835,2676423564,1,0.33529582619667053,0.15326295793056488,0.11507028341293335,0
1774627429.024772,2676463501,1,0.29391348361968994,0.1330767273902893,0.09783195704221725,0
1774627429.064967,2676503696,1,0.25910139083862305,0.1187639832496643,0.09488200396299362,0
1774627429.105002,2676543731,1,0.24373865127563477,0.12648071348667145,0.09159605950117111,0
1774627429.144959,2676583688,1,0.21659398078918457,0.10813263058662415,0.09067920595407486,0
1774627429.184946,2676623675,1,0.19356155395507812,0.09790144860744476,0.07767179608345032,0
